Table_Number,Year,Measure,Age,Sex,Indigenous_Status,CS_Type,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
8A.1,2021-22,Real recurrent expenditure,Adults,All people,All people,Prison,2022-23 dollars,Real recurrent expenditure,Prisons,Capital costs; all prisons,User cost of capital,Land,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,20978,17348,16048,5984,12529,347,556,274,74065
8A.1,2021-22,Real recurrent expenditure,Adults,All people,All people,Prison,2022-23 dollars,Real recurrent expenditure,Prisons,Capital costs; all prisons,User cost of capital,Other assets,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,398540,141660,215098,111739,56030,23750,14600,7810,969225
8A.1,2021-22,Real recurrent expenditure,Adults,All people,All people,Prison,2022-23 dollars,Real recurrent expenditure,Prisons,Capital costs; all prisons,Debt servicing fees,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,33172,63790,0,20332,0,..,0,50389,167684
8A.1,2021-22,Real recurrent expenditure,Adults,All people,All people,Prison,2022-23 dollars,Real recurrent expenditure,Prisons,Capital costs; all prisons,Depreciation,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,190235,108178,137881,40264,21276,7208,8197,15061,528300
8A.1,2021-22,Real recurrent expenditure,Adults,All people,All people,Prison,2022-23 dollars,Real recurrent expenditure,Prisons,Capital costs; all prisons,Total capital costs,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,642924,330976,369027,178319,89835,31305,23353,73535,1739273
8A.1,2021-22,Real recurrent expenditure,Adults,All people,All people,Prison,2022-23 dollars,Real recurrent expenditure,Prisons,Total net operating expenditure and capital costs,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,2002118,1379187,1244806,898357,350472,136547,100480,232746,6344714
8A.1,2021-22,Real recurrent expenditure,Adults,All people,All people,Prison,2022-23 dollars,Real recurrent expenditure,Prisons,Other operating expenditure,Transport and escort services,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,37449,28241,51554,28690,7566,na,3261,1219,157980
8A.1,2021-22,Real recurrent expenditure,Adults,All people,All people,Prison,2022-23 dollars,Real recurrent expenditure,Prisons,Other operating expenditure,Health expenditure,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,193098,171520,22928,58951,24076,13388,0,249,484210
8A.1,2021-22,Real recurrent expenditure,Adults,All people,All people,Prison,2022-23 dollars,Real recurrent expenditure,Prisons,Other operating expenditure,Payroll tax,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,43009,25027,..,..,7303,..,..,4714,80054
8A.1,2021-22,Real recurrent expenditure,Adults,All people,All people,Community correction,2022-23 dollars,Real recurrent expenditure,Community corrections,Total operating expenditure,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,248952,234368,147627,76970,59653,18656,22372,28595,837194
8A.1,2021-22,Real recurrent expenditure,Adults,All people,All people,Community correction,2022-23 dollars,Real recurrent expenditure,Community corrections,Operating revenues,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,137,0,22,315,2465,0,0,78,3017
8A.1,2021-22,Real recurrent expenditure,Adults,All people,All people,Community correction,2022-23 dollars,Real recurrent expenditure,Community corrections,Net operating expenditure,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,248815,234368,147605,76654,57188,18656,22372,28517,834176
8A.1,2021-22,Real recurrent expenditure,Adults,All people,All people,Community correction,2022-23 dollars,Real recurrent expenditure,Community corrections,Capital costs,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,8217,20527,3321,1856,2536,159,0,166,36781
8A.1,2021-22,Real recurrent expenditure,Adults,All people,All people,Community correction,2022-23 dollars,Real recurrent expenditure,Community corrections,Total net operating expenditure and capital costs,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,257031,254895,150926,78510,59724,18815,22372,28683,870957
8A.1,2021-22,Real recurrent expenditure,Adults,All people,All people,Community correction,2022-23 dollars,Real recurrent expenditure,Community corrections,Payroll tax,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,9922,7473,..,..,2198,..,..,912,20505
8A.2,2022-23,Real net operating expenditure,Adults,All people,All people,Prison,2022-23 dollars,Real net operating expenditure,Prisons,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1364363,968094,904740,754447,269230,119430,77131,172447,4629881
8A.2,2022-23,Real net operating expenditure,Adults,All people,All people,Community correction,2022-23 dollars,Real net operating expenditure,Community Corrections,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,255857,195720,155180,81173,59182,19930,23766,31120,821927
8A.2,2022-23,Real net operating expenditure,Adults,All people,All people,Prisons and community corrections,2022-23 dollars,Real net operating expenditure,Total prisons and community corrections,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1620219,1163814,1059920,835620,328412,139360,100897,203566,5451809
8A.2,2022-23,Real net operating expenditure,Adults,All people,All people,Prisons and community corrections,2022-23 dollars,Real net operating expenditure,Total prisons and community corrections plus depreciation,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1820594,1280388,1207613,879037,350396,148638,111432,217431,6015530
8A.2,2021-22,Real net operating expenditure,Adults,All people,All people,Prison,2022-23 dollars,Real net operating expenditure,Prisons,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1359195,1048211,875779,720038,260637,105242,77128,159212,4605440
8A.2,2021-22,Real net operating expenditure,Adults,All people,All people,Community correction,2022-23 dollars,Real net operating expenditure,Community Corrections,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,248815,234368,147605,76654,57188,18656,22372,28517,834176
8A.2,2021-22,Real net operating expenditure,Adults,All people,All people,Prisons and community corrections,2022-23 dollars,Real net operating expenditure,Total prisons and community corrections,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1608010,1282579,1023384,796692,317825,123898,99500,187729,5439617
8A.2,2021-22,Real net operating expenditure,Adults,All people,All people,Prisons and community corrections,2022-23 dollars,Real net operating expenditure,Total prisons and community corrections plus depreciation,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1802837,1404431,1163327,838663,340019,131209,107697,202843,5991027
8A.2,2020-21,Real net operating expenditure,Adults,All people,All people,Prison,2022-23 dollars,Real net operating expenditure,Prisons,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1288382,1048403,763480,736202,260874,95814,71826,159134,4424116
8A.2,2020-21,Real net operating expenditure,Adults,All people,All people,Community correction,2022-23 dollars,Real net operating expenditure,Community Corrections,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,225822,233321,138650,77859,58522,17687,19802,30348,802012
8A.2,2020-21,Real net operating expenditure,Adults,All people,All people,Prisons and community corrections,2022-23 dollars,Real net operating expenditure,Total prisons and community corrections,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1514204,1281725,902131,814062,319396,113501,91628,189482,5226128
8A.2,2020-21,Real net operating expenditure,Adults,All people,All people,Prisons and community corrections,2022-23 dollars,Real net operating expenditure,Total prisons and community corrections plus depreciation,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1703593,1436029,1037093,858617,342752,119216,99493,204165,5800958
8A.2,2019-20,Real net operating expenditure,Adults,All people,All people,Prison,2022-23 dollars,Real net operating expenditure,Prisons,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1161329,1012017,720462,708333,265236,87468,73456,155814,4184114
8A.2,2019-20,Real net operating expenditure,Adults,All people,All people,Community correction,2022-23 dollars,Real net operating expenditure,Community Corrections,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,258304,224976,135732,77942,55615,17383,18587,28740,817278
8A.2,2019-20,Real net operating expenditure,Adults,All people,All people,Prisons and community corrections,2022-23 dollars,Real net operating expenditure,Total prisons and community corrections,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1419633,1236993,856194,786275,320850,104850,92042,184554,5001392
8A.2,2019-20,Real net operating expenditure,Adults,All people,All people,Prisons and community corrections,2022-23 dollars,Real net operating expenditure,Total prisons and community corrections plus depreciation,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1553370,1360533,988192,827528,345433,110340,99655,201040,5486092
8A.2,2018-19,Real net operating expenditure,Adults,All people,All people,Prison,2022-23 dollars,Real net operating expenditure,Prisons,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1069469,1026376,677446,661713,284102,81819,58412,144871,4004208
8A.2,2018-19,Real net operating expenditure,Adults,All people,All people,Community correction,2022-23 dollars,Real net operating expenditure,Community Corrections,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,249219,216022,123620,67911,59223,16803,18555,26255,777608
8A.2,2018-19,Real net operating expenditure,Adults,All people,All people,Prisons and community corrections,2022-23 dollars,Real net operating expenditure,Total prisons and community corrections,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1318688,1242398,801067,729624,343325,98622,76967,171126,4781816
8A.2,2018-19,Real net operating expenditure,Adults,All people,All people,Prisons and community corrections,2022-23 dollars,Real net operating expenditure,Total prisons and community corrections plus depreciation,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1448923,1351907,928834,769390,367096,104202,83352,186017,5239720
8A.2,2017-18,Real net operating expenditure,Adults,All people,All people,Prison,2022-23 dollars,Real net operating expenditure,Prisons,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1000291,966663,644395,671731,287350,76971,65525,143956,3856883
8A.2,2017-18,Real net operating expenditure,Adults,All people,All people,Community correction,2022-23 dollars,Real net operating expenditure,Community Corrections,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,176127,194029,114364,73113,51425,12782,16548,26771,665159
8A.2,2017-18,Real net operating expenditure,Adults,All people,All people,Prisons and community corrections,2022-23 dollars,Real net operating expenditure,Total prisons and community corrections,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1176419,1160693,758759,744844,338775,89752,82073,170727,4522042
8A.2,2017-18,Real net operating expenditure,Adults,All people,All people,Prisons and community corrections,2022-23 dollars,Real net operating expenditure,Total prisons and community corrections plus depreciation,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1289324,1259966,916724,784943,362066,95412,88466,185532,4982434
8A.2,2016-17,Real net operating expenditure,Adults,All people,All people,Prison,2022-23 dollars,Real net operating expenditure,Prisons,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,932917,870035,621241,641288,262551,71153,58790,139949,3597924
8A.2,2016-17,Real net operating expenditure,Adults,All people,All people,Community correction,2022-23 dollars,Real net operating expenditure,Community Corrections,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,167340,169678,101987,82153,43956,10706,14913,24621,615354
8A.2,2016-17,Real net operating expenditure,Adults,All people,All people,Prisons and community corrections,2022-23 dollars,Real net operating expenditure,Total prisons and community corrections,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1100257,1039713,723228,723441,306507,81859,73703,164569,4213277
8A.2,2016-17,Real net operating expenditure,Adults,All people,All people,Prisons and community corrections,2022-23 dollars,Real net operating expenditure,Total prisons and community corrections plus depreciation,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1201703,1122424,877601,764635,329168,87531,82726,179200,4644989
8A.2,2015-16,Real net operating expenditure,Adults,All people,All people,Prison,2022-23 dollars,Real net operating expenditure,Prisons,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,865533,771722,561681,617255,236315,68845,56798,139401,3317551
8A.2,2015-16,Real net operating expenditure,Adults,All people,All people,Community correction,2022-23 dollars,Real net operating expenditure,Community Corrections,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,158964,145411,96271,80671,45242,10669,14427,23346,575002
8A.2,2015-16,Real net operating expenditure,Adults,All people,All people,Prisons and community corrections,2022-23 dollars,Real net operating expenditure,Total prisons and community corrections,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1024498,917133,657952,697926,281557,79514,71225,162747,3892552
8A.2,2015-16,Real net operating expenditure,Adults,All people,All people,Prisons and community corrections,2022-23 dollars,Real net operating expenditure,Total prisons and community corrections plus depreciation,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1127627,996950,805417,741000,303275,84405,78175,179303,4316153
8A.2,2014-15,Real net operating expenditure,Adults,All people,All people,Prison,2022-23 dollars,Real net operating expenditure,Prisons,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,860155,722675,529515,626947,210077,65187,48184,137615,3200356
8A.2,2014-15,Real net operating expenditure,Adults,All people,All people,Community correction,2022-23 dollars,Real net operating expenditure,Community Corrections,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,174148,118773,97863,87149,42833,11382,14159,21672,567978
8A.2,2014-15,Real net operating expenditure,Adults,All people,All people,Prisons and community corrections,2022-23 dollars,Real net operating expenditure,Total prisons and community corrections,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1034303,841448,627378,714096,252910,76569,62343,159287,3768334
8A.2,2014-15,Real net operating expenditure,Adults,All people,All people,Prisons and community corrections,2022-23 dollars,Real net operating expenditure,Total prisons and community corrections plus depreciation,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1141023,904608,769263,753194,273193,79724,68739,177938,4167683
8A.2,2013-14,Real net operating expenditure,Adults,All people,All people,Prison,2022-23 dollars,Real net operating expenditure,Prisons,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,842204,610163,508223,593223,194227,61025,38955,125924,2973943
8A.2,2013-14,Real net operating expenditure,Adults,All people,All people,Community correction,2022-23 dollars,Real net operating expenditure,Community Corrections,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,168271,109343,90537,84574,41464,10567,10929,22233,537918
8A.2,2013-14,Real net operating expenditure,Adults,All people,All people,Prisons and community corrections,2022-23 dollars,Real net operating expenditure,Total prisons and community corrections,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1010475,719506,598760,677797,235691,71591,49884,148157,3511860
8A.2,2013-14,Real net operating expenditure,Adults,All people,All people,Prisons and community corrections,2022-23 dollars,Real net operating expenditure,Total prisons and community corrections plus depreciation,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1116103,776391,728324,712001,255238,75582,56743,158923,3879305
8A.3,2022-23,Correctional custodial facilities,Adults,All people,All people,Prison,,Correctional custodial facilities,Number; at 30 June,Government operated prisons,,,State and territory governments (unpublished),no.,28,11,14,16,7,5,1,4,86
8A.3,2022-23,Correctional custodial facilities,Adults,All people,All people,Prison,,Correctional custodial facilities,Number; at 30 June,Privately operated prisons,,,State and territory governments (unpublished),no.,3,3,0,1,2,0,0,0,9
8A.3,2022-23,Correctional custodial facilities,Adults,All people,All people,Prison,,Correctional custodial facilities,Number; at 30 June,Transitional centres,,,State and territory governments (unpublished),no.,2,1,0,0,0,0,1,0,4
8A.3,2022-23,Correctional custodial facilities,Adults,All people,All people,Prison,,Correctional custodial facilities,Number; at 30 June,24-hour court cell complexes,,,State and territory governments (unpublished),no.,14,0,0,0,0,0,0,0,14
8A.3,2022-23,Correctional custodial facilities,Adults,All people,All people,Prison,,Correctional custodial facilities,Number; at 30 June,Total,,,Derived from State and territory governments (unpublished),no.,47,15,14,17,9,5,2,4,113
8A.3,2022-23,Correctional custodial facilities,Adults,All people,All people,Prison,,Correctional custodial facilities,Prison capacity (annual average),Open,,,State and territory governments (unpublished),no.,3912,1059,812,1163,324,31,20,1112,8433
8A.3,2022-23,Correctional custodial facilities,Adults,All people,All people,Prison,,Correctional custodial facilities,Prison capacity (annual average),Secure,,,State and territory governments (unpublished),no.,11759,7888,9968,6532,2983,861,424,1032,41447
8A.3,2022-23,Correctional custodial facilities,Adults,All people,All people,Prison,,Correctional custodial facilities,Prison capacity (annual average),Total,,,Derived from State and territory governments (unpublished),no.,15671,8947,10780,7695,3307,892,444,2144,49880
8A.4,2022-23,Prisoner population,Adults,Males,All people,Prison,,Prisoner population,Daily average,Male,,,Derived from State and territory governments (unpublished),no.,11699,6272,8955,5761,2838,630,362,1891,38407
8A.4,2022-23,Prisoner population,Adults,Females,All people,Prison,,Prisoner population,Daily average,Female,,,Derived from State and territory governments (unpublished),no.,822,339,910,592,235,46,27,114,3085
8A.4,2022-23,Prisoner population,Adults,Females,All people,Prison,,Prisoner population,Daily average,Female,,,Derived from State and territory governments (unpublished),%,6.6,5.1,9.2,9.3,7.7,6.7,7,5.7,7.4
8A.4,2022-23,Prisoner population,Adults,All people,All people,Prison,,Prisoner population,Daily average,Held in open custody,,,Derived from State and territory governments (unpublished),no.,3255,747,675,915,249,17,7,954,6819
8A.4,2022-23,Prisoner population,Adults,All people,All people,Prison,,Prisoner population,Daily average,Held in secure custody,,,Derived from State and territory governments (unpublished),no.,9266,5863,9190,5437,2825,659,382,1051,34673
8A.4,2022-23,Prisoner population,Adults,All people,All people,Prison,,Prisoner population,Daily average,Held in secure custody,,,Derived from State and territory governments (unpublished),%,74,88.7,93.2,85.6,91.9,97.5,98.1,52.4,83.6
8A.4,2022-23,Prisoner population,Adults,All people,All people,Prison,,Prisoner population,Daily average,Held in privately operated prisons,,,Derived from State and territory governments (unpublished),no.,3195,2461,..,1288,877,..,..,..,7821
8A.4,2022-23,Prisoner population,Adults,All people,All people,Prison,,Prisoner population,Daily average,Held in privately operated prisons,,,Derived from State and territory governments (unpublished),%,25.5,37.2,..,20.3,28.5,..,..,..,18.9
8A.4,2021-22,Prisoner population,Adults,Males,All people,Prison,,Prisoner population,Daily average,Male,,,Derived from State and territory governments (unpublished),no.,11662,6398,8709,5792,2832,589,359,1752,38093
8A.4,2021-22,Prisoner population,Adults,Females,All people,Prison,,Prisoner population,Daily average,Female,,,Derived from State and territory governments (unpublished),no.,829,367,880,593,217,53,30,114,3082
8A.4,2021-22,Prisoner population,Adults,Females,All people,Prison,,Prisoner population,Daily average,Female,,,Derived from State and territory governments (unpublished),%,6.6,5.4,9.2,9.3,7.1,8.3,7.7,6.1,7.5
8A.4,2021-22,Prisoner population,Adults,All people,All people,Prison,,Prisoner population,Daily average,Held in open custody,,,Derived from State and territory governments (unpublished),no.,3192,640,680,968,266,20,1,898,6666
8A.4,2021-22,Prisoner population,Adults,All people,All people,Prison,,Prisoner population,Daily average,Held in secure custody,,,Derived from State and territory governments (unpublished),no.,9299,6125,8908,5418,2782,622,388,968,34510
8A.4,2021-22,Prisoner population,Adults,All people,All people,Prison,,Prisoner population,Daily average,Held in secure custody,,,Derived from State and territory governments (unpublished),%,74.4,90.5,92.9,84.8,91.3,96.9,99.8,51.9,83.8
8A.4,2021-22,Prisoner population,Adults,All people,All people,Prison,,Prisoner population,Daily average,Held in privately operated prisons,,,Derived from State and territory governments (unpublished),no.,3180,2618,..,1383,880,..,..,..,8061
8A.4,2021-22,Prisoner population,Adults,All people,All people,Prison,,Prisoner population,Daily average,Held in privately operated prisons,,,Derived from State and territory governments (unpublished),%,25.5,38.7,..,21.7,28.9,..,..,..,19.6
8A.5,2022-23,Prisoner population,Adults,All people,All people,Prison,,Prisoner population,All prisoners,,,,Derived from State and territory governments (unpublished),no.,12521,6611,9865,6352,3074,676,389,2005,41492
8A.5,2022-23,Prisoner population,Adults,All people,All people,Prison,,Crude imprisonment rate per 100000 adults,All prisoners,,,,Derived from State and territory governments (unpublished); ABS National state and territory population - December,rate,194.2,125.4,236.7,290.4,210.8,147.8,107.2,1062.9,201.9
8A.5,2021-22,Prisoner population,Adults,All people,All people,Prison,,Prisoner population,All prisoners,,,,Derived from State and territory governments (unpublished),no.,12491,6765,9589,6386,3049,642,389,1866,41176
8A.5,2021-22,Prisoner population,Adults,All people,All people,Prison,,Crude imprisonment rate per 100000 adults,All prisoners,,,,Derived from State and territory governments (unpublished); ABS (unpublished) National state and territory population - December,rate,195.4,129.2,236,307.5,216.7,148.9,116.2,1009.6,204.5
8A.5,2020-21,Prisoner population,Adults,All people,All people,Prison,,Prisoner population,All prisoners,,,,Derived from State and territory governments (unpublished),no.,12966,7138,9476,6662,3049,640,411,1748,42090
8A.5,2020-21,Prisoner population,Adults,All people,All people,Prison,,Crude imprisonment rate per 100000 adults,All prisoners,,,,Derived from State and territory governments (unpublished); ABS National state and territory population - December,rate,203.1,136.4,236.6,323.6,217.6,149.2,122.7,944.7,210.1
8A.5,2019-20,Prisoner population,Adults,All people,All people,Prison,,Prisoner population,All prisoners,,,,Derived from State and territory governments (unpublished),no.,13527,7949,8883,6957,2853,664,444,1731,43009
8A.5,2019-20,Prisoner population,Adults,All people,All people,Prison,,Crude imprisonment rate per 100000 adults,All prisoners,,,,Derived from State and territory governments (unpublished); ABS National state and territory population - December,rate,213.1,152.3,225.1,342.3,205.3,156.5,133.8,944,216.4
8A.5,2018-19,Prisoner population,Adults,All people,All people,Prison,,Prisoner population,All prisoners,,,,Derived from State and territory governments (unpublished),no.,13495,8044,8923,6908,2900,653,484,1708,43115
8A.5,2018-19,Prisoner population,Adults,All people,All people,Prison,,Crude imprisonment rate per 100000 adults,All prisoners,,,,Derived from State and territory governments (unpublished); ABS National state and territory population - December,rate,215.2,157.3,229.9,344.2,210.8,155.7,147,930.1,220.2
8A.5,2017-18,Prisoner population,Adults,All people,All people,Prison,,Prisoner population,All prisoners,,,,Derived from State and territory governments (unpublished),no.,13373,7258,8629,6771,3055,613,474,1694,41867
8A.5,2017-18,Prisoner population,Adults,All people,All people,Prison,,Crude imprisonment rate per 100000 adults,All prisoners,,,,Derived from State and territory governments (unpublished); ABS National state and territory population - December,rate,216.8,145.3,223,340.3,224.3,148.7,146.8,920.4,216.9
8A.5,2016-17,Prisoner population,Adults,All people,All people,Prison,,Prisoner population,All prisoners,,,,Derived from State and territory governments (unpublished),no.,12931,6853,8129,6488,2998,575,445,1639,40059
8A.5,2016-17,Prisoner population,Adults,All people,All people,Prison,,Crude imprisonment rate per 100000 adults,All prisoners,,,,Derived from State and territory governments (unpublished); ABS National state and territory population - December,rate,213.2,140.5,213.9,328.1,221.8,141.5,140.9,898.6,211
8A.5,2015-16,Prisoner population,Adults,All people,All people,Prison,,Prisoner population,All prisoners,,,,Derived from State and territory governments (unpublished),no.,12305,6320,7522,5850,2870,524,402,1664,37456
8A.5,2015-16,Prisoner population,Adults,All people,All people,Prison,,Crude imprisonment rate per 100000 adults,All prisoners,,,,Derived from State and territory governments (unpublished); ABS National state and territory population - December,rate,206.6,132.9,201.4,298.1,213.9,129.9,129.5,915.9,200.9
8A.5,2014-15,Prisoner population,Adults,All people,All people,Prison,,Prisoner population,All prisoners,,,,Derived from State and territory governments (unpublished),no.,11011,6350,7167,5402,2644,468,342,1599,34982
8A.5,2014-15,Prisoner population,Adults,All people,All people,Prison,,Crude imprisonment rate per 100000 adults,All prisoners,,,,Derived from State and territory governments (unpublished); ABS National state and territory population - December,rate,187.7,136.6,194.4,277.3,198.6,116.7,112.2,885.3,190.4
8A.5,2013-14,Prisoner population,Adults,All people,All people,Prison,,Prisoner population,All prisoners,,,,Derived from State and territory governments (unpublished),no.,10447,5800,6693,5030,2409,472,331,1501,32683
8A.5,2013-14,Prisoner population,Adults,All people,All people,Prison,,Crude imprisonment rate per 100000 adults,All prisoners,,,,Derived from State and territory governments (unpublished); ABS National state and territory population - December,rate,180.9,127.5,184.1,260.9,182.6,118.2,110.1,835.1,180.7
8A.6,2022-23,Community corrections population,Adults,Males,All people,Community correction,,Community corrections population,Daily average,Male,,,Derived from State and territory governments (unpublished),no.,28379,8889,14364,4645,5329,1558,630,1094,64887
8A.6,2022-23,Community corrections population,Adults,Females,All people,Community correction,,Community corrections population,Daily average,Female,,,Derived from State and territory governments (unpublished),no.,6080,1510,4500,1294,1125,399,129,212,15248
8A.6,2022-23,Community corrections population,Adults,Sex unknown,All people,Community correction,,Community corrections population,Daily average,Gender unknown,,,Derived from State and territory governments (unpublished),no.,20,5,0,4,6,0,1,0,36
8A.6,2022-23,Community corrections population,Adults,Females,All people,Community correction,,Community corrections population,Daily average,Female,,,Derived from State and territory governments (unpublished),%,17.6,14.5,23.9,21.8,17.4,20.4,17,16.2,19
8A.6,2022-23,Community corrections population,Adults,All people,All people,Community correction,,Community corrections population,Daily average,Restricted movement order(s),,,State and territory governments (unpublished),no.,333,..,..,134,1151,68,..,24,1710
8A.6,2022-23,Community corrections population,Adults,All people,All people,Community correction,,Community corrections population,Daily average,Reparation order(s),,,State and territory governments (unpublished),no.,7121,1539,1796,127,575,945,62,156,12320
8A.6,2022-23,Community corrections population,Adults,All people,All people,Community correction,,Community corrections population,Daily average,Supervision order(s),,,State and territory governments (unpublished),no.,34185,9096,17501,5586,3583,1253,782,1204,73190
8A.6,2022-23,Community corrections population,Adults,All people,All people,Community correction,,Community corrections population,Daily average,Post-sentence order(s),,,State and territory governments (unpublished),no.,144,na,143,153,0,0,..,8,448
8A.6,2021-22,Community corrections population,Adults,Males,All people,Community correction,,Community corrections population,Daily average,Male,,,Derived from State and territory governments (unpublished),no.,28647,7818,14894,4513,5397,1680,762,1010,64721
8A.6,2021-22,Community corrections population,Adults,Females,All people,Community correction,,Community corrections population,Daily average,Female,,,Derived from State and territory governments (unpublished),no.,6112,1366,4678,1250,1203,405,168,203,15385
8A.6,2021-22,Community corrections population,Adults,Sex unknown,All people,Community correction,,Community corrections population,Daily average,Gender unknown,,,Derived from State and territory governments (unpublished),no.,29,3,0,1,5,0,0,0,38
8A.6,2021-22,Community corrections population,Adults,Females,All people,Community correction,,Community corrections population,Daily average,Female,,,Derived from State and territory governments (unpublished),%,17.6,14.9,23.9,21.7,18.2,19.4,18.1,16.7,19.2
8A.6,2021-22,Community corrections population,Adults,All people,All people,Community correction,,Community corrections population,Daily average,Restricted movement order(s),,,State and territory governments (unpublished),no.,396,..,..,110,1099,101,..,22,1728
8A.6,2021-22,Community corrections population,Adults,All people,All people,Community correction,,Community corrections population,Daily average,Reparation order(s),,,State and territory governments (unpublished),no.,7499,1178,1933,142,707,990,71,150,12671
8A.6,2021-22,Community corrections population,Adults,All people,All people,Community correction,,Community corrections population,Daily average,Supervision order(s),,,State and territory governments (unpublished),no.,34632,8215,18145,5385,3633,1417,957,1122,73506
