Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Uncertainty,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
6A.3,2021-22,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1719,7303,5443,2785,2328,1811,2188,1688,25265
6A.3,2021-22,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1.05,1.07,1.06,1.1,1.1,1.09,1.09,1.12,1.07
6A.3,2021-22,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Never,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,40.6,43.6,37.6,36.5,47.2,35.6,33.9,36.4,40.5
6A.3,2021-22,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Never,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),3.2,1.6,2,2.6,3.1,2.8,2.7,3.8,1.2
6A.3,2021-22,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Total rarely or more often,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,59.3,56,62,63.3,52.6,64,65.8,63.5,59.2
6A.3,2021-22,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Total rarely or more often,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),3.2,1.6,2,2.6,3.1,2.8,2.7,3.8,1.2
6A.3,2021-22,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Don't know,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0.1,0.3,0.2,0.1,0.1,0.2,0.2,0.1,0.2
6A.3,2021-22,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Don't know,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0.1
6A.3,2021-22,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Refused,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0,0.1,0.2,0.1,0.1,0.2,0.1,0,0.1
6A.3,2021-22,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1719,7303,5443,2785,2328,1811,2188,1688,25265
6A.3,2021-22,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1.83,1.77,1.85,1.89,1.69,1.9,1.92,1.93,1.82
6A.3,2020-21,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Never,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,96.3,94.6,95.3,95,93.1,92.7,95.9,88.7,95.1
6A.3,2020-21,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Never,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),1.5,0.7,0.8,1.2,1.5,1.6,1.3,2.9,0.6
6A.3,2020-21,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Total rarely or more often,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,3.7,5.1,4.4,4.6,6.7,7.1,3.8,10.8,4.7
6A.3,2020-21,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Total rarely or more often,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),1.5,0.7,0.7,1.2,1.5,1.6,1.3,2.8,0.6
6A.3,2020-21,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Don't know,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.1
6A.3,2020-21,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Don't know,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),0,0.1,0.2,0.3,0.2,0.1,0.2,0.2,0.1
6A.3,2020-21,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Refused,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0,0.1,0,0,0,0,0.1,0.3,0
6A.3,2020-21,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1722,7344,5480,2806,2349,1820,2216,1724,25461
6A.3,2020-21,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1.06,1.08,1.07,1.07,1.1,1.11,1.05,1.15,1.07
6A.3,2020-21,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Never,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,94.6,94.7,94.6,91.2,92.1,92.5,91.9,91.5,93.9
6A.3,2020-21,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Never,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),1.6,0.7,1.1,1.6,1.7,1.7,1.9,2,0.6
6A.3,2020-21,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Total rarely or more often,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,5.3,5.1,5.4,8.7,7.7,7.5,8.1,8.5,5.9
6A.3,2020-21,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Total rarely or more often,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),1.6,0.7,1.1,1.6,1.7,1.7,1.9,2,0.6
6A.3,2020-21,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Don't know,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0,0.2,0,0,0.2,0,0,0,0.1
6A.3,2020-21,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Don't know,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),0.1,0.3,0,0.1,0.2,0.1,0,0.1,0.1
6A.3,2020-21,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Refused,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0.1,0.1,0,0,0,0,0,0,0
6A.3,2020-21,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1722,7344,5480,2806,2349,1820,2216,1724,25461
6A.3,2020-21,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1.06,1.06,1.06,1.1,1.09,1.08,1.09,1.1,1.07
6A.3,2020-21,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Never,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,37.1,44.4,36.3,34.9,46.5,35.9,32.4,32.4,39.1
6A.3,2020-21,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Never,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),3.3,1.7,2,2.7,3.2,3.6,3.1,3.5,1.3
6A.3,2020-21,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Total rarely or more often,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,62.7,55.2,63.4,65,53.4,63.9,67.4,67.3,60.6
6A.3,2020-21,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Total rarely or more often,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),3.3,1.7,2,2.7,3.2,3.6,3.1,3.5,1.3
6A.3,2020-21,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Don't know,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2
6A.3,2020-21,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Don't know,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
6A.3,2020-21,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Refused,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0.1,0.2,0.1,0,0,0,0.1,0.1,0.1
6A.3,2020-21,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1722,7344,5480,2806,2349,1820,2216,1724,25461
6A.3,2020-21,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1.89,1.74,1.86,1.88,1.7,1.9,1.93,1.99,1.83
6A.3,2019-20,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Never,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,96.2,94.8,95.3,96.2,94.3,91.8,95.1,93.1,95.4
6A.3,2019-20,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Never,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),1.3,0.7,0.9,1,1.4,2.3,1.7,2.1,0.5
6A.3,2019-20,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Total rarely or more often,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,3.6,4.8,4.5,3.7,5.4,7.5,4.7,6.7,4.4
6A.3,2019-20,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Total rarely or more often,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),1.2,0.7,0.9,0.9,1.4,2.2,1.7,2.1,0.5
6A.3,2019-20,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Don't know,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0.2,0.2,0.2,0,0.1,0.6,0.1,0.2,0.2
6A.3,2019-20,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Don't know,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),0.3,0.2,0.1,0.1,0.1,0.7,0.2,0.2,0.1
6A.3,2019-20,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Refused,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0,0.1,0.1,0.1,0.1,0,0,0,0.1
6A.3,2019-20,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1731,7382,5458,2790,2306,1778,2182,1687,25314
6A.3,2019-20,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1.05,1.08,1.07,1.06,1.08,1.11,1.08,1.09,1.07
6A.3,2019-20,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Never,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,91.8,92.5,93.1,88.7,91.3,92,89.4,90.6,91.9
6A.3,2019-20,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Never,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),2.5,0.9,1.1,2,1.5,1.9,2.1,2,0.9
6A.3,2019-20,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Total rarely or more often,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,8.1,7.3,6.7,11.2,8.5,8,10.5,9.1,8
6A.3,2019-20,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Total rarely or more often,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),2.5,0.9,1.1,2,1.5,1.9,2.1,2,0.9
6A.3,2019-20,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Don't know,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0,0.1,0.1,0,0.1,0,0,0.3,0.1
6A.3,2019-20,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Don't know,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),0,0.1,0.1,0.1,0.1,0,0,0.4,0
6A.3,2019-20,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Refused,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0,0.1,0.1,0,0.1,0.1,0.1,0,0.1
6A.3,2019-20,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1731,7382,5458,2790,2306,1778,2182,1687,25314
6A.3,2019-20,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1.09,1.08,1.08,1.13,1.1,1.09,1.12,1.11,1.09
6A.3,2019-20,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Never,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,35.7,43.4,37.1,35.9,48.4,36.5,29.1,34,38.8
6A.3,2019-20,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Never,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),3.3,1.7,2,2.9,3.3,3.8,2.9,3.9,1.3
6A.3,2019-20,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Total rarely or more often,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,63.8,56,62.4,63.7,51.2,63.1,70.6,65.8,60.7
6A.3,2019-20,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Total rarely or more often,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),3.4,1.7,2,2.9,3.3,3.8,2.9,3.9,1.3
6A.3,2019-20,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Don't know,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0.4,0.4,0.2,0.3,0.1,0.3,0.2,0.1,0.3
6A.3,2019-20,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Don't know,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),0.3,0.2,0.1,0.3,0.1,0.2,0.2,0.1,0.1
6A.3,2019-20,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Refused,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0.2,0.2,0.2,0.1,0.2,0.1,0,0.1,0.2
6A.3,2019-20,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1731,7382,5458,2790,2306,1778,2182,1687,25314
6A.3,2019-20,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1.92,1.75,1.85,1.88,1.69,1.86,2.03,1.96,1.84
6A.3,2018-19,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Never,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,95.2,94.8,95.1,96.1,94.8,93.8,96.2,91.2,95.1
6A.3,2018-19,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Never,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),2.1,0.8,0.9,1.1,1.3,1.6,1.3,2,0.7
6A.3,2018-19,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Total rarely or more often,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,4.4,4.8,4.7,3.7,4.9,5.8,3.8,8.5,4.6
6A.3,2018-19,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Total rarely or more often,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),2.1,0.7,0.9,1.1,1.3,1.6,1.3,2,0.7
6A.3,2018-19,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Don't know,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0.2,0.4,0.2,0.2,0.3,0.3,0,0.2,0.2
6A.3,2018-19,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Don't know,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),0.2,0.4,0.1,0.3,0.3,0.4,0,0.2,0.1
6A.3,2018-19,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Refused,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0.1,0,0.1,0,0,0.1,0,0,0.1
6A.3,2018-19,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1733,7361,5378,2785,2297,1760,2182,1811,25307
6A.3,2018-19,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1.06,1.08,1.07,1.06,1.08,1.09,1.06,1.13,1.07
6A.3,2018-19,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Never,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,92.2,92.1,93.9,89.8,88.8,90.8,89,87.5,91.9
6A.3,2018-19,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Never,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),2.2,0.9,1,1.7,2.1,2.4,1.9,2.5,0.8
6A.3,2018-19,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Total rarely or more often,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,7.7,7.7,6,10.1,11.1,9.1,11,12.4,8
6A.3,2018-19,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Total rarely or more often,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),2.2,0.9,1,1.7,2,2.4,1.9,2.5,0.8
6A.3,2018-19,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Don't know,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0.1,0.1,0.1,0,0.1,0,0,0,0.1
6A.3,2018-19,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Don't know,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),0.2,0,0.1,0.1,0.2,0,0.1,0,0.1
6A.3,2018-19,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Refused,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0,0.1,0,0.1,0,0,0,0.1,0
6A.3,2018-19,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1733,7361,5378,2785,2297,1760,2182,1811,25307
6A.3,2018-19,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1.09,1.09,1.07,1.12,1.13,1.11,1.12,1.14,1.09
6A.3,2018-19,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Never,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,39.2,43,37.3,36,44.7,39.7,33.3,35.2,39.7
6A.3,2018-19,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Never,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),3.5,1.7,2,2.7,3.3,3.8,2.8,3.9,1.3
6A.3,2018-19,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Total rarely or more often,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,60.4,56.4,61.9,63.6,55,60,66.3,64.7,59.8
6A.3,2018-19,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Total rarely or more often,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),3.5,1.7,2.1,2.7,3.3,3.8,2.8,3.9,1.3
6A.3,2018-19,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Don't know,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0.2,0.2,0.6,0.3,0.3,0.3,0.3,0,0.3
6A.3,2018-19,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Don't know,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),0.2,0.1,0.5,0.2,0.2,0.2,0.3,0.1,0.1
6A.3,2018-19,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Refused,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0.2,0.3,0.1,0.1,0,0.2,0.1,0.1,0.2
6A.3,2018-19,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1733,7361,5378,2785,2297,1760,2182,1811,25307
6A.3,2018-19,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1.9,1.76,1.85,1.89,1.71,1.81,1.95,1.96,1.84
6A.3,2017-18,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Never,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,95.4,95.5,95.8,95.4,95,92.7,96,92.1,95.4
6A.3,2017-18,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Never,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),1.5,0.8,0.9,2.3,1.2,2.6,1.3,1.8,0.6
6A.3,2017-18,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Total rarely or more often,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,4.3,4.5,4,4.3,4.8,6.7,3.8,7.3,4.4
6A.3,2017-18,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Total rarely or more often,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),1.5,0.8,0.9,2.3,1.2,2.5,1.3,1.8,0.6
6A.3,2017-18,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Don't know,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0.3,0.1,0.2,0.2,0.1,0.5,0.1,0.4,0.2
6A.3,2017-18,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Don't know,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),0.3,0.1,0.1,0.1,0.1,0.8,0.1,0.4,0.1
6A.3,2017-18,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Refused,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0,0,0,0,0,0,0,0,0
6A.3,2017-18,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1729,7457,5531,2611,2336,1790,2242,1861,25557
6A.3,2017-18,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1.06,1.07,1.06,1.07,1.08,1.09,1.07,1.12,1.07
6A.3,2017-18,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Never,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,93.2,92.3,93,88.9,89.9,92.1,91.6,89,92.2
6A.3,2017-18,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Never,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),1.7,1,1.2,2.6,1.9,1.8,1.4,1.9,0.7
6A.3,2017-18,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Total rarely or more often,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,6.7,7.6,6.8,11,9.9,7.9,8.3,11,7.7
