Table_Number,Year,Measure,Age,Indigenous_Status,Year_Dollars,Description1,Description2,Description3,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
CA.5,2022-23,Repeat offenders,Adults,All people,,Adults discharged from community corrections orders,returning to community corrections,with a new correctional sanction within two years,Derived from State and territory governments (unpublished),%,16.5,9.1,17.2,13,14,8.7,16.9,6.1,14.7
CA.5,2022-23,Repeat offenders,Adults,All people,,Adults discharged from community corrections orders,returning to corrective services,with a new correctional sanction within two years,Derived from State and territory governments (unpublished),%,29,10.7,23.6,19.1,24,28.6,17.8,30.2,24.3
CA.5,2021-22,Repeat offenders,Adults,All people,,Adults discharged from community corrections orders,returning to community corrections,with a new correctional sanction within two years,Derived from State and territory governments (unpublished),%,18.1,8.5,16.4,12.7,13.4,14,16.6,7.6,14.9
CA.5,2021-22,Repeat offenders,Adults,All people,,Adults discharged from community corrections orders,returning to corrective services,with a new correctional sanction within two years,Derived from State and territory governments (unpublished),%,32.4,10.5,23.3,18.8,25.6,30.3,18,32.7,24.9
CA.5,2020-21,Repeat offenders,Adults,All people,,Adults discharged from community corrections orders,returning to community corrections,with a new correctional sanction within two years,Derived from State and territory governments (unpublished),%,18.5,10.4,15.5,13.5,13.7,17.9,17.9,8.1,15.1
CA.5,2020-21,Repeat offenders,Adults,All people,,Adults discharged from community corrections orders,returning to corrective services,with a new correctional sanction within two years,Derived from State and territory governments (unpublished),%,34.9,12.8,21.9,19.9,26.1,25.3,19.4,31.7,25.1
CA.5,2019-20,Repeat offenders,Adults,All people,,Adults discharged from community corrections orders,returning to community corrections,with a new correctional sanction within two years,Derived from State and territory governments (unpublished),%,17.5,14.4,16.1,13.2,13.5,20.9,18.3,10.5,15.9
CA.5,2019-20,Repeat offenders,Adults,All people,,Adults discharged from community corrections orders,returning to corrective services,with a new correctional sanction within two years,Derived from State and territory governments (unpublished),%,31.6,17.1,23.2,19,23.8,27.1,20.8,30.8,25.5
CA.5,2018-19,Repeat offenders,Adults,All people,,Adults discharged from community corrections orders,returning to community corrections,with a new correctional sanction within two years,Derived from State and territory governments (unpublished),%,15.4,12.9,14.7,12.3,14.8,22.8,16.9,12.6,14.8
CA.5,2018-19,Repeat offenders,Adults,All people,,Adults discharged from community corrections orders,returning to corrective services,with a new correctional sanction within two years,Derived from State and territory governments (unpublished),%,28.6,15.1,21.2,18.9,24.7,28.8,19.1,31,23.7
CA.4,2022-23,Repeat offenders,Adults,Non-Indigenous people,,Adults released from prison,who returned to prison with a new sentence within two years,Non-Indigenous,Derived from State and territory governments (unpublished),%,41.4,38.7,32.3,23.2,26.5,51.1,29.3,31.9,35.5
CA.4,2022-23,Repeat offenders,Adults,Non-Indigenous people,,Adults released from prison,who returned to corrective services with a new correctional sanction within two years,Non-Indigenous,Derived from State and territory governments (unpublished),%,52.9,46,41.6,30.8,34.3,61,60.5,33.1,45
CA.4,2021-22,Repeat offenders,Adults,Non-Indigenous people,,Adults released from prison,who returned to prison with a new sentence within two years,Non-Indigenous,Derived from State and territory governments (unpublished),%,41.9,35.7,35.7,22.7,30.7,49.6,33.9,31.6,36.1
CA.4,2021-22,Repeat offenders,Adults,Non-Indigenous people,,Adults released from prison,who returned to corrective services with a new correctional sanction within two years,Non-Indigenous,Derived from State and territory governments (unpublished),%,53.6,42,45.2,29.1,37.2,60.7,57.2,33.8,45.1
