Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Service_Type,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
17A.14,2019-20,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of young people,Young people in detention,Not of compulsory school age,Who are eligible to attend an accredited education or training course,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,57,7,80.8,6.3,3,1,4,na,159
17A.14,2019-20,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Proportion of young people,Young people in detention,Not of compulsory school age,Attending an accredited education or training course,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),%,100,100,100,96,100,100,100,na,99.8
17A.14,2018-19,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of young people,Young people in detention,Of compulsory school age,Attending an accredited education or training course,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,58.5,16,60.3,83,13,3,4,na,237.8
17A.14,2018-19,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of young people,Young people in detention,Of compulsory school age,Who are eligible to attend an accredited education or training course,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,58.5,16,60.3,85.3,13,3,4,na,240
17A.14,2018-19,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Proportion of young people,Young people in detention,Of compulsory school age,Attending an accredited education or training course,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),%,100,100,100,97.4,100,100,100,na,99.1
17A.14,2018-19,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of young people,Young people in detention,Not of compulsory school age,Attending an accredited education or training course,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,67.5,7,87.8,7,5,1,4,na,179.3
17A.14,2018-19,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of young people,Young people in detention,Not of compulsory school age,Who are eligible to attend an accredited education or training course,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,67.5,7,87.8,7.3,5,1,4,na,179.5
17A.14,2018-19,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Proportion of young people,Young people in detention,Not of compulsory school age,Attending an accredited education or training course,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),%,100,100,100,96.6,100,100,100,na,99.9
17A.14,2017-18,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of young people,Young people in detention,Of compulsory school age,Attending an accredited education or training course,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,69,17,73.5,62.5,13,2.7,5,na,242.7
17A.14,2017-18,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of young people,Young people in detention,Of compulsory school age,Who are eligible to attend an accredited education or training course,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,69,17,73.5,90.5,13,2.7,5,na,270.7
17A.14,2017-18,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Proportion of young people,Young people in detention,Of compulsory school age,Attending an accredited education or training course,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),%,100,100,100,69.1,100,100,100,na,89.7
17A.14,2017-18,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of young people,Young people in detention,Not of compulsory school age,Attending an accredited education or training course,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,64.3,13,65.3,7.3,6,1,9,na,165.8
17A.14,2017-18,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of young people,Young people in detention,Not of compulsory school age,Who are eligible to attend an accredited education or training course,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,64.3,13,65.3,12.5,6,1,9,na,171
17A.14,2017-18,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Proportion of young people,Young people in detention,Not of compulsory school age,Attending an accredited education or training course,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),%,100,100,100,58,100,100,100,na,96.9
17A.14,2016-17,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of young people,Young people in detention,Of compulsory school age,Attending an accredited education or training course,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,77.3,12,75.3,77,17,1.5,6,11.5,277.5
17A.14,2016-17,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of young people,Young people in detention,Of compulsory school age,Who are eligible to attend an accredited education or training course,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,77.3,12,75.3,82,17,1.5,6,11.5,282.5
17A.14,2016-17,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Proportion of young people,Young people in detention,Of compulsory school age,Attending an accredited education or training course,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),%,100,100,100,93.9,100,100,100,100,98.2
17A.14,2016-17,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of young people,Young people in detention,Not of compulsory school age,Attending an accredited education or training course,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,65,12,51.3,10,7,1.5,6,2.8,155.5
17A.14,2016-17,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of young people,Young people in detention,Not of compulsory school age,Who are eligible to attend an accredited education or training course,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,65,12,51.3,12,7,1.5,6,3.3,158
17A.14,2016-17,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Proportion of young people,Young people in detention,Not of compulsory school age,Attending an accredited education or training course,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),%,100,100,100,83.3,100,100,100,84.6,98.4
17A.14,2015-16,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of young people,Young people in detention,Of compulsory school age,Attending an accredited education or training course,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,79,12,65,74,15,1.3,10,17.5,273.8
17A.14,2015-16,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of young people,Young people in detention,Of compulsory school age,Who are eligible to attend an accredited education or training course,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,79,12,65,82.2,15,1.3,10,17.5,282
17A.14,2015-16,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Proportion of young people,Young people in detention,Of compulsory school age,Attending an accredited education or training course,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),%,100,100,100,90,100,100,100,100,97.1
17A.14,2015-16,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of young people,Young people in detention,Not of compulsory school age,Attending an accredited education or training course,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,68.5,18,55.8,7.5,8,1,5,6.3,170
17A.14,2015-16,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of young people,Young people in detention,Not of compulsory school age,Who are eligible to attend an accredited education or training course,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,68.5,18,55.8,9.5,8,1,5,6.8,172.5
17A.14,2015-16,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Proportion of young people,Young people in detention,Not of compulsory school age,Attending an accredited education or training course,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),%,100,100,100,78.9,100,100,100,92.6,98.6
17A.14,2014-15,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of young people,Young people in detention,Of compulsory school age,Attending an accredited education or training course,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,82.5,11,66,80.3,13,1.5,4,31,289.3
17A.14,2014-15,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of young people,Young people in detention,Of compulsory school age,Who are eligible to attend an accredited education or training course,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,82.5,11,66,83,13,1.5,4,31,292
17A.14,2014-15,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Proportion of young people,Young people in detention,Of compulsory school age,Attending an accredited education or training course,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),%,100,100,100,96.7,100,100,100,100,99.1
17A.14,2014-15,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of young people,Young people in detention,Not of compulsory school age,Attending an accredited education or training course,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,65.3,16,43.8,18,3,1,7,12,166
17A.14,2014-15,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of young people,Young people in detention,Not of compulsory school age,Who are eligible to attend an accredited education or training course,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,65.3,16,43.8,23.5,3,1,7,12,171.5
17A.14,2014-15,Education and training attendance,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Proportion of young people,Young people in detention,Not of compulsory school age,Attending an accredited education or training course,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),%,100,100,100,76.6,100,100,100,100,96.8
17A.15,2022-23,Deaths in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,,Young people in custody,,Who died,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,0,0,0,0,0,0,0,0,0
17A.15,2021-22,Deaths in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,,Young people in custody,,Who died,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,0,0,0,0,0,0,0,0,0
17A.15,2020-21,Deaths in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,,Young people in custody,,Who died,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,0,0,0,0,0,0,0,0,0
17A.15,2019-20,Deaths in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,,Young people in custody,,Who died,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,0,0,0,0,0,0,0,0,0
17A.15,2018-19,Deaths in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,,Young people in custody,,Who died,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,0,0,0,0,0,0,0,0,0
17A.15,2017-18,Deaths in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,,Young people in custody,,Who died,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,0,0,0,0,0,0,0,0,0
17A.15,2016-17,Deaths in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,,Young people in custody,,Who died,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,0,0,0,0,0,0,0,0,0
17A.15,2015-16,Deaths in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,,Young people in custody,,Who died,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,0,0,0,0,0,0,0,0,0
17A.15,2014-15,Deaths in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,,Young people in custody,,Who died,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,0,0,0,0,0,0,0,0,0
17A.16,2022-23,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of,Young people in custody,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,3,2,1,2,0,np,0,2,
17A.16,2022-23,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 custody nights) of,Young people in custody,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),rate,0.8,3.8,0.1,0.8,0,np,0,1.1,
17A.16,2022-23,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of,Staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,na,0,0,na,0,na,0,0,
17A.16,2022-23,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 custody nights) of,Staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),rate,na,0,0,na,0,na,0,0,
17A.16,2022-23,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of,Young people in custody and staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),no.,na,2,1,na,0,np,0,2,
17A.16,2022-23,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 custody nights) of,Young people in custody and staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),rate,na,0.5,0.1,na,0,np,0,1.1,
17A.16,2021-22,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of,Young people in custody,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,8,1,0,1,1,np,0,1,
17A.16,2021-22,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 custody nights) of,Young people in custody,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),rate,2.6,1.7,0,0.3,1.7,np,0,0.6,
17A.16,2021-22,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of,Staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,na,0,0,na,2,0,0,0,
17A.16,2021-22,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 custody nights) of,Staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),rate,na,0,0,na,1.7,0,0,0,
17A.16,2021-22,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of,Young people in custody and staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),no.,na,1,0,1,3,0,0,1,
17A.16,2021-22,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 custody nights) of,Young people in custody and staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),rate,na,0.2,0,0.2,2.6,0,0,0.5,
17A.16,2020-21,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of,Young people in custody,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,6,0,1,2,1,0,0,1,
17A.16,2020-21,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 custody nights) of,Young people in custody,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),rate,2,0,0.2,0.7,1.9,0,0,0.9,
17A.16,2020-21,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of,Staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,na,0,0,0,0,0,0,0,
17A.16,2020-21,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 custody nights) of,Staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),rate,na,0,0,0,0,0,0,0,
17A.16,2020-21,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of,Young people in custody and staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),no.,na,0,1,2,1,0,0,1,
17A.16,2020-21,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 custody nights) of,Young people in custody and staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),rate,na,0,0.1,0.5,1,0,0,0.9,
17A.16,2019-20,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of,Young people in custody,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,3,1,1,3,0,np,0,0,
17A.16,2019-20,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 custody nights) of,Young people in custody,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),rate,0.7,1.1,0.2,1.1,0,np,0,0,
17A.16,2019-20,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of,Staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,na,0,0,0,0,0,0,0,
17A.16,2019-20,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 custody nights) of,Staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),rate,na,0,0,0,0,0,0,0,
17A.16,2019-20,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of,Young people in custody and staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),no.,na,1,1,3,0,np,0,0,
17A.16,2019-20,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 custody nights) of,Young people in custody and staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),rate,na,0.1,0.1,0.8,0,np,0,0,
17A.16,2018-19,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of,Young people in custody,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,7,5,1,0,0,0,0,0,
17A.16,2018-19,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 custody nights) of,Young people in custody,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),rate,1.5,4.4,0.2,0,0,0,0,0,
17A.16,2018-19,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of,Staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,na,0,0,na,0,0,0,0,
17A.16,2018-19,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 custody nights) of,Staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),rate,na,0,0,na,0,0,0,0,
17A.16,2018-19,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of,Young people in custody and staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),no.,na,5,1,na,0,0,0,0,
17A.16,2018-19,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 custody nights) of,Young people in custody and staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),rate,na,0.7,0.1,na,0,0,0,0,
17A.16,2017-18,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of,Young people in custody,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,0,0,1,3,0,0,0,0,
17A.16,2017-18,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 custody nights) of,Young people in custody,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),rate,0,0,0.2,0.8,0,0,0,0,
17A.16,2017-18,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of,Staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,na,0,0,na,0,0,0,0,
17A.16,2017-18,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 custody nights) of,Staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),rate,na,0,0,na,0,0,0,0,
17A.16,2017-18,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of,Young people in custody and staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),no.,na,0,1,na,0,0,0,0,
17A.16,2017-18,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 custody nights) of,Young people in custody and staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),rate,na,0,0.1,na,0,0,0,0,
17A.16,2016-17,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of,Young people in custody,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,1,0,0,1,0,0,0,2,
17A.16,2016-17,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 custody nights) of,Young people in custody,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),rate,0.2,0,0,0.3,0,0,0,1.6,
17A.16,2016-17,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of,Staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,na,0,0,na,0,0,0,1,
17A.16,2016-17,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 custody nights) of,Staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),rate,na,0,0,na,0,0,0,0.7,
17A.16,2016-17,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of,Young people in custody and staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),no.,na,0,0,na,0,0,0,3,
17A.16,2016-17,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 custody nights) of,Young people in custody and staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),rate,na,0,0,na,0,0,0,2.2,
17A.16,2015-16,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of,Young people in custody,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,0,0,0,0,0,0,0,0,
17A.16,2015-16,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 custody nights) of,Young people in custody,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),rate,0,0,0,0,0,0,0,0,
17A.16,2015-16,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of,Staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,na,0,0,na,0,0,0,0,
17A.16,2015-16,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 custody nights) of,Staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),rate,na,0,0,na,0,0,0,0,
17A.16,2015-16,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of,Young people in custody and staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),no.,na,0,0,na,0,0,0,0,
17A.16,2015-16,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 custody nights) of,Young people in custody and staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),rate,na,0,0,na,0,0,0,0,
17A.16,2014-15,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of,Young people in custody,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,0,0,0,na,0,0,0,1,
17A.16,2014-15,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 custody nights) of,Young people in custody,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),rate,0,0,0,na,0,0,0,0.7,
17A.16,2014-15,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of,Staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,na,0,0,na,0,0,0,0,
17A.16,2014-15,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 custody nights) of,Staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),rate,na,0,0,na,0,0,0,0,
17A.16,2014-15,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of,Young people in custody and staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),no.,na,0,0,na,0,0,0,1,
17A.16,2014-15,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 custody nights) of,Young people in custody and staff,Incidents of injury as a result of a serious assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),rate,na,0,0,na,0,0,0,0.7,
17A.17,2022-23,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Number of,Young people in custody,Incidents of injury as a result of an assault,,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,42,10,16,4,4,6,np,61,
17A.17,2022-23,Assaults in custody,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 custody nights) of,Young people in custody,Incidents of injury as a result of an assault,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),rate,11,18.9,2.2,1.6,6.3,37.9,np,34.1,
